SKU,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
110053,Eaches,489,186,278,279,506,440,293,303,130,537,518,100
110054,Eaches,247,61,53,263,23,244,131,16,96,76,163,234
110056,Eaches,302,44,282,340,121,311,168,286,300,93,208,255
110124,Eaches,209,367,520,336,475,375,173,205,396,286,310,481
110125,Eaches,352,310,402,155,342,453,380,472,327,414,381,144
110127,Eaches,3,7,4,8,12,7,9,9,2,8,3,7
110132,Eaches,11,41,32,8,7,25,4,33,4,23,7,38
110239,Eaches,250,32,336,14,55,70,18,318,299,49,134,380
110742,Eaches,180,401,162,206,75,316,303,347,62,217,41,93
111120,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
140005,Eaches,129,240,519,90,420,242,66,26,321,150,576,281
140006,Eaches,1,0,1,1,0,0,0,1,1,0,1,0
140013,Eaches,1225,810,1094,1099,429,671,39,284,212,175,1481,28
140014,Eaches,198,512,742,360,528,752,529,189,505,779,782,761
140016,Eaches,253,369,351,413,111,293,104,280,252,129,82,177
140020,Eaches,183,68,367,267,228,8,243,72,189,61,150,160
140023,Eaches,2308,1487,294,2770,3019,3410,2785,352,1160,994,3319,3321
140038,Eaches,169,265,290,422,316,468,226,341,37,138,78,506
140045,Eaches,204,45,32,229,40,163,178,54,145,153,196,167
140046,Eaches,236,299,28,354,592,118,183,6,72,629,434,158
140047,Eaches,8,207,50,288,341,148,80,6,130,248,307,283
140048,Eaches,49,237,47,207,91,7,124,35,78,220,159,101
140049,Eaches,91,42,198,254,17,325,211,6,149,243,217,285
140050,Eaches,10,191,301,68,145,296,161,175,213,98,318,242
140051,Eaches,108,383,403,165,337,366,370,64,197,159,56,47
140052,Eaches,181,292,240,306,357,421,164,40,378,168,397,261
140083,Eaches,268,202,1484,601,1750,1297,922,412,2520,1490,912,1997
140084,Eaches,97,19,139,89,164,87,78,168,173,181,185,189
140098,Eaches,981,542,817,1329,938,318,875,630,487,1169,1114,1355
140099,Eaches,496,888,1218,733,1575,149,10,798,521,46,1135,784
140101,Eaches,106,107,169,1297,882,1951,981,187,2780,1038,1332,2150
140129,Eaches,5236,2438,3146,3039,4615,6680,5773,7932,8015,2096,6592,1107
140140,Eaches,318,336,633,300,495,111,244,502,88,182,122,254
140142,Eaches,542,887,2359,1264,923,3690,1757,3663,1705,1169,3265,301
140143,Eaches,133,259,71,169,116,237,362,160,23,46,354,30
140144,Eaches,186,121,72,66,284,108,277,204,301,270,239,206
140146,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
140147,Eaches,211,169,70,135,42,91,101,277,205,31,33,361
140148,Eaches,381,401,82,209,197,304,186,263,187,173,12,112
140149,Eaches,253,377,391,168,404,264,65,89,457,341,172,286
140172,Eaches,568,2244,2415,2408,2441,3008,3136,2904,2125,385,675,1088
140186,Eaches,207,521,661,908,17,44,380,61,883,204,696,369
140187,Eaches,2,5,8,0,8,6,2,1,6,9,8,9
140202,Eaches,63,61,48,446,204,274,390,36,196,231,229,170
140212,Eaches,331,400,249,574,826,469,118,363,75,652,71,818
140213,Eaches,423,192,154,220,334,624,569,338,440,404,259,618
140228,Eaches,63,334,185,467,206,177,227,392,14,56,126,18
140229,Eaches,1927,631,945,1029,927,2027,1549,34,1611,1157,572,797
140237,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
140242,Eaches,1043,673,121,1150,1013,752,224,156,1120,353,1024,197
140243,Eaches,397,161,336,256,17,452,194,1069,294,735,1080,589
140250,Eaches,3652,309,737,2042,745,1098,453,1250,3329,623,2512,3577
140264,Eaches,631,410,297,95,69,161,758,544,821,706,559,595
140265,Eaches,100,455,633,597,544,180,318,569,435,516,542,553
140267,Eaches,851,427,852,808,76,311,531,463,901,76,181,183
140268,Eaches,436,358,285,503,506,85,473,492,248,83,141,95
140274,Eaches,39,59,54,2,74,72,21,66,71,57,18,12
140491,Eaches,554,164,13,246,122,624,278,181,370,282,526,625
140665,Eaches,3,2,1,1,4,0,2,4,1,0,0,0
140681,Eaches,69,385,520,736,658,902,601,590,517,519,806,455
140699,Eaches,194,542,514,284,426,119,304,595,45,429,375,514
140715,Eaches,7168,801,1927,8745,7297,4673,939,8047,4123,1056,1445,5233
140798,Eaches,630,468,264,406,373,229,473,539,510,357,0,333
140806,Eaches,3982,2572,4854,3627,2585,662,5066,4901,901,295,1002,1499
140939,Eaches,687,113,764,2069,534,2240,970,3264,1645,2773,3652,3454
140947,Eaches,1164,1012,1873,1466,2012,297,16,2192,1477,653,186,415
141002,Eaches,1122,1391,1397,2710,1503,183,2366,1941,1214,2235,2061,2714
141010,Eaches,2612,211,2195,2319,1948,2564,1330,2293,1946,933,1346,80
141119,Eaches,8,1,11,5,25,20,26,5,11,30,1,21
141127,Eaches,244,31,162,27,212,10,104,173,49,210,109,152
141135,Eaches,169,372,342,207,268,280,99,376,177,61,345,319
141200,Eaches,1334,879,406,622,363,1142,1514,1011,405,527,587,833
141218,Eaches,1193,146,455,447,808,690,1867,517,1900,1147,1751,250
141382,Eaches,193,460,414,860,328,94,665,526,1148,850,848,597
142422,Eaches,235,575,490,363,609,208,606,69,405,12,195,110
142430,Eaches,61,130,39,52,50,27,64,92,12,18,114,112
142448,Eaches,9,38,121,142,82,42,134,69,57,67,40,58
142497,Eaches,79,1395,594,402,1147,1029,1180,1274,537,1413,293,1456
142554,Eaches,114,199,21,112,395,365,223,179,392,300,193,405
142562,Eaches,364,103,66,388,256,424,165,284,182,238,71,25
142570,Eaches,296,104,53,440,370,342,458,506,569,256,180,391
142604,Eaches,258,170,69,75,285,53,17,346,182,320,355,41
142711,Eaches,69,31,232,194,239,105,184,141,20,130,32,4
400001,Eaches,233,232,636,651,783,661,367,267,285,405,327,199
400002,Eaches,607,605,667,1123,1142,1136,554,1112,869,462,879,914
400044,Eaches,577,511,1051,855,319,514,388,314,11,1140,995,1008
400069,Eaches,504,671,403,332,329,474,66,674,416,45,606,731
400077,Eaches,390,526,31,454,10,634,41,443,58,377,425,76
400143,Eaches,1058,1228,376,1286,250,1382,667,193,1088,480,1203,953
400150,Eaches,605,653,253,274,684,110,236,107,248,87,279,400
400168,Eaches,25,460,2013,1284,1686,486,1606,620,541,1051,1034,2135
400176,Eaches,677,459,349,250,459,58,200,167,527,491,354,294
400184,Eaches,1875,941,911,1721,636,961,80,2105,413,1677,246,541
400192,Eaches,1431,458,1025,224,1375,666,792,1069,232,1301,1176,936
400200,Eaches,927,1385,1097,1017,109,519,1073,1268,1183,876,519,120
400218,Eaches,788,756,3264,3265,2005,3474,2279,3904,4023,3747,2989,2335
400226,Eaches,1768,1730,432,495,2521,505,1853,2787,2351,647,2839,1562
400234,Eaches,853,2730,569,1082,2476,1407,218,1829,1489,1710,250,571
400242,Eaches,279,737,1559,1038,1459,1723,1031,1921,1164,1441,822,1908
400259,Eaches,1033,567,354,333,1019,1087,662,409,841,483,1070,848
400267,Eaches,966,2012,1617,1152,141,395,1196,455,1724,974,53,1181
400275,Eaches,66,652,104,327,423,217,905,744,317,771,336,778
