SKU,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg,SKU,CategoryID,SKU,SupplierID
110053,Eaches,489,186,278,279,506,440,293,303,130,537,518,100,338.25,110053,460,Active,3452
110054,Eaches,247,61,53,263,23,244,131,16,96,76,163,234,133.9166667,110054,460,Active,3452
110056,Eaches,302,44,282,340,121,311,168,286,300,93,208,255,225.8333333,110056,460,Active,3452
110124,Eaches,209,367,520,336,475,375,173,205,396,286,310,481,344.4166667,110124,460,Active,3452
110125,Eaches,352,310,402,155,342,453,380,472,327,414,381,144,344.3333333,110125,460,Active,3452
110127,Eaches,3,7,4,8,12,7,9,9,2,8,3,7,6.583333333,110127,700,Pre Active,2075
110132,Eaches,11,41,32,8,7,25,4,33,4,23,7,38,19.41666667,110132,460,Pre Active,2044
110239,Eaches,250,32,336,14,55,70,18,318,299,49,134,380,162.9166667,110239,460,Active,52070
110742,Eaches,180,401,162,206,75,316,303,347,62,217,41,93,200.25,110742,460,Active,52070
111120,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,111120,460,Discontinued,2044
140005,Eaches,129,240,519,90,420,242,66,26,321,150,576,281,255,140005,460,Active,3452
140006,Eaches,1,0,1,1,0,0,0,1,1,0,1,0,0.5,140006,460,Discontinued,52070
140013,Eaches,1225,810,1094,1099,429,671,39,284,212,175,1481,28,628.9166667,140013,460,Active,52070
140014,Eaches,198,512,742,360,528,752,529,189,505,779,782,761,553.0833333,140014,460,Active,52070
140016,Eaches,253,369,351,413,111,293,104,280,252,129,82,177,234.5,140016,460,Active,52070
140020,Eaches,183,68,367,267,228,8,243,72,189,61,150,160,166.3333333,140020,460,Active,3452
140023,Eaches,2308,1487,294,2770,3019,3410,2785,352,1160,994,3319,3321,2101.583333,140023,460,Active,3452
140038,Eaches,169,265,290,422,316,468,226,341,37,138,78,506,271.3333333,140038,460,Active,3452
140045,Eaches,204,45,32,229,40,163,178,54,145,153,196,167,133.8333333,140045,460,Active,50282
140046,Eaches,236,299,28,354,592,118,183,6,72,629,434,158,259.0833333,140046,460,Active,3452
